dataset_size,method,kraj_name,found_points
5000,linear_search_polygon,Hlavní město Praha,35
5000,linear_search_polygon,Jihomoravský kraj,461
5000,linear_search_polygon,Jihočeský kraj,656
5000,linear_search_polygon,Karlovarský kraj,229
5000,linear_search_polygon,Kraj Vysočina,468
5000,linear_search_polygon,Královéhradecký kraj,291
5000,linear_search_polygon,Liberecký kraj,235
5000,linear_search_polygon,Moravskoslezský kraj,311
5000,linear_search_polygon,Olomoucký kraj,330
5000,linear_search_polygon,Pardubický kraj,282
5000,linear_search_polygon,Plzeňský kraj,497
5000,linear_search_polygon,Středočeský kraj,659
5000,linear_search_polygon,Zlínský kraj,230
5000,linear_search_polygon,Ústecký kraj,316
5000,tile_index_polygon,Hlavní město Praha,35
5000,tile_index_polygon,Jihomoravský kraj,461
5000,tile_index_polygon,Jihočeský kraj,656
5000,tile_index_polygon,Karlovarský kraj,229
5000,tile_index_polygon,Kraj Vysočina,468
5000,tile_index_polygon,Královéhradecký kraj,291
5000,tile_index_polygon,Liberecký kraj,235
5000,tile_index_polygon,Moravskoslezský kraj,311
5000,tile_index_polygon,Olomoucký kraj,330
5000,tile_index_polygon,Pardubický kraj,282
5000,tile_index_polygon,Plzeňský kraj,497
5000,tile_index_polygon,Středočeský kraj,659
5000,tile_index_polygon,Zlínský kraj,230
5000,tile_index_polygon,Ústecký kraj,316
5000,rtree_index_polygon,Hlavní město Praha,35
5000,rtree_index_polygon,Jihomoravský kraj,461
5000,rtree_index_polygon,Jihočeský kraj,656
5000,rtree_index_polygon,Karlovarský kraj,229
5000,rtree_index_polygon,Kraj Vysočina,468
5000,rtree_index_polygon,Královéhradecký kraj,291
5000,rtree_index_polygon,Liberecký kraj,235
5000,rtree_index_polygon,Moravskoslezský kraj,311
5000,rtree_index_polygon,Olomoucký kraj,330
5000,rtree_index_polygon,Pardubický kraj,282
5000,rtree_index_polygon,Plzeňský kraj,497
5000,rtree_index_polygon,Středočeský kraj,659
5000,rtree_index_polygon,Zlínský kraj,230
5000,rtree_index_polygon,Ústecký kraj,316
10000,linear_search_polygon,Hlavní město Praha,54
10000,linear_search_polygon,Jihomoravský kraj,907
10000,linear_search_polygon,Jihočeský kraj,1323
10000,linear_search_polygon,Karlovarský kraj,406
10000,linear_search_polygon,Kraj Vysočina,834
10000,linear_search_polygon,Královéhradecký kraj,599
10000,linear_search_polygon,Liberecký kraj,393
10000,linear_search_polygon,Moravskoslezský kraj,647
10000,linear_search_polygon,Olomoucký kraj,719
10000,linear_search_polygon,Pardubický kraj,603
10000,linear_search_polygon,Plzeňský kraj,946
10000,linear_search_polygon,Středočeský kraj,1386
10000,linear_search_polygon,Zlínský kraj,515
10000,linear_search_polygon,Ústecký kraj,668
10000,tile_index_polygon,Hlavní město Praha,54
10000,tile_index_polygon,Jihomoravský kraj,907
10000,tile_index_polygon,Jihočeský kraj,1323
10000,tile_index_polygon,Karlovarský kraj,406
10000,tile_index_polygon,Kraj Vysočina,834
10000,tile_index_polygon,Královéhradecký kraj,599
10000,tile_index_polygon,Liberecký kraj,393
10000,tile_index_polygon,Moravskoslezský kraj,647
10000,tile_index_polygon,Olomoucký kraj,719
10000,tile_index_polygon,Pardubický kraj,603
10000,tile_index_polygon,Plzeňský kraj,946
10000,tile_index_polygon,Středočeský kraj,1386
10000,tile_index_polygon,Zlínský kraj,515
10000,tile_index_polygon,Ústecký kraj,668
10000,rtree_index_polygon,Hlavní město Praha,54
10000,rtree_index_polygon,Jihomoravský kraj,907
10000,rtree_index_polygon,Jihočeský kraj,1323
10000,rtree_index_polygon,Karlovarský kraj,406
10000,rtree_index_polygon,Kraj Vysočina,834
10000,rtree_index_polygon,Královéhradecký kraj,599
10000,rtree_index_polygon,Liberecký kraj,393
10000,rtree_index_polygon,Moravskoslezský kraj,647
10000,rtree_index_polygon,Olomoucký kraj,719
10000,rtree_index_polygon,Pardubický kraj,603
10000,rtree_index_polygon,Plzeňský kraj,946
10000,rtree_index_polygon,Středočeský kraj,1386
10000,rtree_index_polygon,Zlínský kraj,515
10000,rtree_index_polygon,Ústecký kraj,668
50000,linear_search_polygon,Hlavní město Praha,305
50000,linear_search_polygon,Jihomoravský kraj,4580
50000,linear_search_polygon,Jihočeský kraj,6399
50000,linear_search_polygon,Karlovarský kraj,2105
50000,linear_search_polygon,Kraj Vysočina,4345
50000,linear_search_polygon,Královéhradecký kraj,2997
50000,linear_search_polygon,Liberecký kraj,1967
50000,linear_search_polygon,Moravskoslezský kraj,3423
50000,linear_search_polygon,Olomoucký kraj,3315
50000,linear_search_polygon,Pardubický kraj,2941
50000,linear_search_polygon,Plzeňský kraj,4800
50000,linear_search_polygon,Středočeský kraj,7017
50000,linear_search_polygon,Zlínský kraj,2424
50000,linear_search_polygon,Ústecký kraj,3382
50000,tile_index_polygon,Hlavní město Praha,305
50000,tile_index_polygon,Jihomoravský kraj,4580
50000,tile_index_polygon,Jihočeský kraj,6399
50000,tile_index_polygon,Karlovarský kraj,2105
50000,tile_index_polygon,Kraj Vysočina,4345
50000,tile_index_polygon,Královéhradecký kraj,2997
50000,tile_index_polygon,Liberecký kraj,1967
50000,tile_index_polygon,Moravskoslezský kraj,3423
50000,tile_index_polygon,Olomoucký kraj,3315
50000,tile_index_polygon,Pardubický kraj,2941
50000,tile_index_polygon,Plzeňský kraj,4800
50000,tile_index_polygon,Středočeský kraj,7017
50000,tile_index_polygon,Zlínský kraj,2424
50000,tile_index_polygon,Ústecký kraj,3382
50000,rtree_index_polygon,Hlavní město Praha,305
50000,rtree_index_polygon,Jihomoravský kraj,4580
50000,rtree_index_polygon,Jihočeský kraj,6399
50000,rtree_index_polygon,Karlovarský kraj,2105
50000,rtree_index_polygon,Kraj Vysočina,4345
50000,rtree_index_polygon,Královéhradecký kraj,2997
50000,rtree_index_polygon,Liberecký kraj,1967
50000,rtree_index_polygon,Moravskoslezský kraj,3423
50000,rtree_index_polygon,Olomoucký kraj,3315
50000,rtree_index_polygon,Pardubický kraj,2941
50000,rtree_index_polygon,Plzeňský kraj,4800
50000,rtree_index_polygon,Středočeský kraj,7017
50000,rtree_index_polygon,Zlínský kraj,2424
50000,rtree_index_polygon,Ústecký kraj,3382
